reaction,has_rclass,has_main_pair,num_pairs
R09185,True,True,5
R00227,True,True,161
R03134,True,True,51
R05480,True,True,1
R13405,False,False,0
R09501,True,True,6
R11457,True,True,1
R07513,True,True,167
R13239,False,False,0
R07832,True,True,100
R00430,True,True,220
R00199,True,True,220
R12322,False,False,0
R01432,True,True,7
R07228,True,True,5
R09930,True,True,55
R03512,True,True,1
R03147,False,False,0
R01388,True,True,25
R00409,True,True,3
R09789,True,True,1
R01986,True,True,52
R06880,True,True,2
R08394,True,True,1
R00666,True,True,18
R03050,True,True,10
R07057,True,True,13
R04002,True,True,249
R08168,True,True,14
R12507,False,False,0
R09810,True,True,13
R05432,True,True,3
R02606,True,True,18
R04861,True,True,1
R01145,True,True,1
R05062,True,True,3
R06879,True,True,25
R05488,True,True,5
R02814,True,True,148
R06987,True,True,168
R02855,True,True,6
R08648,True,True,1
R00027,True,True,2
R10401,True,True,181
R11949,True,True,2
R01196,True,True,159
R08695,True,True,8
R03749,True,True,146
R09969,True,True,1
R02951,True,True,175
R03708,True,True,4
R11866,True,True,2
R09274,True,True,21
R02576,True,True,306
R11864,True,True,2
R12534,True,True,6
R01353,True,True,249
R12763,False,False,0
R08566,True,True,165
R09925,True,True,2
R02733,True,True,174
R02551,True,True,132
R02254,True,True,104
R10398,True,True,181
R11592,True,True,19
R01179,True,True,100
R01365,True,True,97
R00400,True,True,64
R04056,True,True,138
R03054,True,True,21
R07826,True,True,102
R09488,True,True,14
R04448,True,True,465
R12013,False,False,0
R00896,True,True,62
R03645,True,True,1
R01629,True,True,7
R01810,False,False,0
R05664,True,True,31
R02256,True,True,140
R08518,True,True,8
R01989,True,True,13
R03524,True,True,4
R03601,True,True,50
R02552,True,True,134
R03551,True,True,162
R11636,True,True,19
R03544,True,True,37
R08714,True,True,34
R00753,True,True,2
R08200,True,True,1
R00338,True,True,2
R00818,True,True,11
R01630,True,True,7
R05352,True,True,5
R09591,True,True,93
R10461,True,True,51
R00362,True,True,20
R00195,True,True,1
R05863,True,True,27
R04231,True,True,461
R00398,True,True,17
R00689,True,True,63
R02178,True,True,3
R00208,True,True,1
R10992,True,True,64
R01914,True,True,38
R01373,True,True,2
R08570,True,True,35
R04899,True,True,102
R00518,True,True,220
R06119,True,True,15
R00008,True,True,11
R04410,True,True,235
R06745,False,False,0
R02359,True,True,131
R13452,True,True,3
R02624,True,True,61
R07662,True,True,20
R01851,True,True,2
R11635,True,True,19
R08196,True,True,13
R05686,True,True,37
R10593,True,True,3
R12575,False,False,0
R03472,True,True,6
R10289,True,True,54
R08473,True,True,1
R09124,True,True,5
R09358,True,True,5
R02384,True,True,23
R07599,True,True,10
R07342,True,True,22
R02260,True,True,5
R09712,True,True,1
R00614,True,True,2
R08373,True,True,1
R05366,True,True,14
R08601,True,True,131
R08060,True,True,22
R00799,True,True,3
R12015,True,True,25
R10045,True,True,27
R12566,False,False,0
R07055,True,True,10
R07360,True,True,21
R00670,True,True,28
R04152,True,True,34
R04441,True,True,2
R02724,True,True,2
R05537,True,True,165
R11194,True,True,7
R00038,True,True,2
R01294,True,True,31
R09848,True,True,19
R07063,True,True,39
R06782,True,True,13
R05640,True,True,2
R01423,True,True,44
R05700,True,True,15
R09126,True,True,18
R11749,True,True,3
R11403,True,True,4
R00782,True,True,4
R10702,True,True,3
R10936,True,True,160
R00608,True,True,2
R09971,True,True,3
R10839,True,True,51
R02895,True,True,2
R01767,True,True,6
R13445,False,False,0
R03627,True,True,1
R13521,False,False,0
R02238,True,True,225
R01702,True,True,14
R02385,True,True,263
R09537,True,True,26
R10412,True,True,19
R08635,True,True,3
R12768,True,True,23
R06780,True,True,43
R02554,True,True,4
R13092,True,True,43
R10180,True,True,64
R10487,True,True,10
R07301,True,True,138
R07152,True,True,3
R09061,True,True,2
R11344,True,True,35
R00645,False,False,0
R04672,True,True,11
R12626,True,True,105
R09462,True,True,8
R03692,True,True,1
R09127,True,True,1
R02276,True,True,138
R10055,True,True,2
R09610,True,True,1
R00321,True,True,1
R01335,True,True,29
R03823,True,True,1
R00368,True,True,18
R00322,True,True,44
R03906,True,True,327
R12640,False,False,0
R06975,True,True,243
R00982,True,True,173
R13287,False,False,0
R09040,True,True,17
R01287,True,True,54
R01072,True,True,29
R01143,True,True,3
R13437,False,False,0
R00213,True,True,1
R00900,True,True,17
R12134,True,True,24
R12398,False,False,0
R00577,True,True,299
R09273,True,True,21
R02453,True,True,174
R11598,True,True,2
R10552,True,True,5
R12764,False,False,0
R07500,True,True,8
R03114,True,True,11
R06862,True,True,9
R09795,True,True,1
R05759,True,True,42
R10007,True,True,1
R09725,True,True,61
R02856,True,True,6
R06374,True,True,9
R01010,True,True,246
R11257,True,True,30
R02011,True,True,3
R03146,True,True,1
R03153,True,True,100
R06398,True,True,4
R02527,True,True,5
R08083,True,True,21
R06909,True,True,13
R11862,True,True,110
R02539,True,True,255
R09389,True,True,4
R01576,True,True,23
R00524,True,True,2
R02560,True,True,1
R06404,True,True,2
R05708,True,True,10
R00226,True,True,2
R08838,True,True,104
R03502,True,True,19
R00602,True,True,1
R08697,True,True,246
R10409,True,True,2
R04397,True,True,34
R05136,True,True,19
R09481,True,True,1
R05360,True,True,18
R01434,True,True,7
R01366,True,True,7
R03923,True,True,1
R00944,True,True,6
R05061,True,True,235
R07695,False,False,0
R02952,True,True,4
R10557,True,True,9
R04945,True,True,53
R07860,True,True,181
R02970,True,True,3
R11198,True,True,9
R00980,True,True,4
R07663,True,True,2
R06406,True,True,3
R00257,True,True,31
R11166,True,True,61
R12767,False,False,0
R00526,True,True,24
R08923,True,True,1
R10050,True,True,12
R06372,True,True,2
R11872,False,False,0
R03747,True,True,7
R11348,True,True,102
R01066,True,True,2
R03945,True,True,6
R01016,True,True,1
R09487,True,True,3
R01915,True,True,37
R01465,True,True,13
R05382,True,True,8
R11351,True,True,1
R10495,True,True,3
R08855,True,True,249
R01763,True,True,26
R08974,True,True,22
R13376,False,False,0
R08435,False,False,0
R06934,True,True,19
R00471,True,True,28
R06375,True,True,9
R10473,True,True,289
R01154,True,True,263
R08608,True,True,9
R01001,True,True,20
